image,phrase1,phrase2,original_phrase1,original_phrase2,original_label,type_label
1434090555,grass,sea,the grass,sea,Alternation,0
1434090555,bank large body water,body water,the bank of a large body of water,a body of water,Entailment1,1
1434090555,bank large body water,sea,the bank of a large body of water,sea,Independence,4
1434128388,gray shirt,gray t-shirt,a gray shirt,a gray T-shirt,Entailment2,2
1434155791,drum,large drum,drum,a large drum,Entailment2,2
1436760519,cloth,red frisbee,a cloth,a red Frisbee,Alternation,0
1436760519,another dog,two dogs,another dog,The two dogs,Alternation,0
1436760519,cloth,flying disc,a cloth,a flying disc,Independence,4
1436760519,flying disc,toy,a flying disc,a toy,Entailment1,1
1438632858,tank top,tank-top shirt,tank top,a tank-top shirt,Equivalence,3
1438769690,beat old truck,white truck,A beat up old truck,a white truck,Independence,4
1438769690,truck,white truck,Truck,a white truck,Entailment2,2
1441148458,half-constructed house,house,a half-constructed house,a house,Entailment1,1
1441148458,cable,wire,cable,wire,Independence,4
1442179848,city skyline,urban plaza,a city skyline,an urban plaza,Alternation,0
1442562321,small children,young children,Small Children,Young children,Independence,4
1442562321,all,some young children,all,Some young children,Alternation,0
1442562321,all,young children,all,Young children,Entailment2,2
1442562321,all,small children,all,Small Children,Alternation,0
1442562321,gift,present,a gift,a present,Equivalence,3
1443807993,inflated slide,slide,an inflated slide,a slide,Entailment1,1
1443807993,inflatable fun slide,inflated slide,an inflatable fun slide,an inflated slide,Entailment1,1
1445123245,centipede toy,multicolored stuffed toy centipede,a centipede toy,a multicolored stuffed toy centipede,Entailment2,2
1445123245,centipede toy,favorite toy,a centipede toy,his favorite toy,Independence,4
1445123245,colorful caterpillar toy,favorite toy,a colorful caterpillar toy,his favorite toy,Independence,4
1445123245,centipede toy,multicolor centipede toy,a centipede toy,multicolor centipede toy,Entailment2,2
1445123245,black tan dog,yorkshire terrier,A black and tan dog,Yorkshire Terrier,Independence,4
1445123245,dog,short long-haired dog,A dog,A short long-haired dog,Entailment2,2
1445123245,multicolor centipede toy,multicolored stuffed toy centipede,multicolor centipede toy,a multicolored stuffed toy centipede,Entailment2,2
1445754124,black white dog,gray dog,A black and white dog,A gray dog,Alternation,0
1445754124,leaning tree trunk,slanted tree,a leaning tree trunk,a slanted tree,Entailment1,1
1446053356,grassy field,sports field,a grassy field,a sports field,Independence,4
1446933195,branch,tree branch,a branch,a tree branch,Entailment2,2
1446933195,puppy,young brown puppy,A puppy,A young brown puppy,Entailment2,2
1446933195,brown puppy,puppy,A brown puppy,A puppy,Entailment1,1
1447077067,blue black shirt,blue plaid shirt,a blue and black shirt,the blue plaid shirt,Independence,4
1448269321,back side woman,woman,The back side of a woman,A woman,Entailment1,1
1448269321,back side woman,lady,The back side of a woman,A lady,Entailment1,1
1449163823,material,pottery,material,pottery,Entailment2,2
1449163823,clay,forming clay,clay,forming clay,Entailment2,2
1450988692,purple wall,wall,a purple wall,a wall,Entailment1,1
1452176236,girl,happy young girl,A girl,A happy young girl,Entailment2,2
1453251773,one woman,smiling asian girl,One woman,A smiling Asian girl,Alternation,0
1453251773,oriental woman,smiling asian girl,An oriental woman,A smiling Asian girl,Alternation,0
1453251773,asian woman,smiling asian girl,an Asian woman,A smiling Asian girl,Alternation,0
1453251773,fruit,lattice work structure,"fruit</font> and smiling while surrounded by an array of similar trays of <font color=""red"">fruit",a lattice work structure,Alternation,0
1453251773,lattice work structure,orange fruits,a lattice work structure,orange fruits,Alternation,0
1453251773,smiling asian girl,woman,A smiling Asian girl,A woman,Alternation,0
1454439103,catcher,pitcher,A catcher,A pitcher,Alternation,0
1454678644,green chew toy,object,a green chew toy,an object,Entailment1,1
1454841725,four girls,some young girls,Four girls,Some young girls,Independence,4
1457673153,fossils,objects,fossils,objects,Entailment1,1
1457762320,group bicyclists,group men,A group of bicyclists,A group of men,Independence,4
1457898867,dusty dirt road,road,a dusty dirt road,the road,Entailment1,1
1459581481,person,unknown white person,A person,an unknown white person,Entailment2,2
1459581481,pier bridge,walkway,a pier or bridge,a walkway,Entailment1,1
1460443444,civilians,group individuals,Civilians,A group of individuals,Independence,4
1460443444,civilians,several people,Civilians,Several people,Independence,4
1460450364,dad \'s shoulders,dads shoulder,his dad \'s shoulders,his dads shoulder,Equivalence,3
1461329041,low riding three-wheeled vehicles,tricycles,low riding three-wheeled vehicles,tricycles,Entailment1,1
1462461942,band,co-ed band,a band,A co-ed band,Entailment2,2
1463638541,mesh,rope climbing wall,a mesh,a rope climbing wall,Independence,4
1463732807,gesture,meditational pose,gesture,a meditational pose,Entailment1,1
1463732807,gesture,medatative pose,gesture,a medatative pose,Entailment2,2
1463732807,medatative pose,meditational pose,a medatative pose,a meditational pose,Equivalence,3
1463864223,gold bicycle,gold bike,a gold bicycle,his gold bike,Equivalence,3
1464745948,attractive girl,woman,An attractive girl,A woman,Alternation,0
1464813188,canned soft drinks,soda,canned soft drinks,a soda,Entailment1,1
1466307485,jeep,white truck,a jeep,The white truck,Alternation,0
1468182643,grain,straw,grain,straw,Alternation,0
1468182643,grain,loads,grain,loads,Independence,4
1468182643,items,loads,items,loads,Entailment2,2
1468389504,playground,yellow monkey bars,a playground,yellow monkey bars,Entailment2,2
1468389504,yellow monkey bars,yellow playground bars,yellow monkey bars,yellow playground bars,Entailment1,1
1468389504,jungle gym,yellow monkey bars,a jungle gym,yellow monkey bars,Entailment2,2
1468429623,man \'s padded arm,padded left arm,a man \'s padded arm,his padded left arm,Independence,4
1468741099,conga hand drum,street performer \'s drum,a conga hand drum,A street performer \'s drum,Independence,4
1468741099,yellow green shirt,yellow t-shirt,a yellow and green shirt,a yellow t-shirt,Alternation,0
1468962616,green water gun,yellow water pistol,a green water gun,a yellow water pistol,Independence,4
1469107065,two small children,young passengers,two small children,his young passengers,Independence,4
1469107065,two young children,young passengers,two young children,his young passengers,Independence,4
1469358746,mountains,top mountain,the mountains,the top of a mountain,Entailment2,2
1470061031,two brownish dogs,two dogs,Two brownish dogs,two dogs,Entailment1,1
1470061031,each other,paved ground,each other,paved ground,Alternation,0
1470536919,little black dog,little dog,A little black dog,the little dog,Entailment1,1
1471163137,building,puddle,a building,a puddle,Alternation,0
1471163137,puddle,warped view building,a puddle,a warped view of that building,Alternation,0
1472511399,lady,overweight lady,A lady,An overweight lady,Entailment2,2
1472511399,large women,one people,A large women,one of the people,Entailment1,1
1472511399,auditorium,waiting room,an auditorium,a waiting room,Alternation,0
1472882567,four people,group skiers,Four people,a group of skiers,Independence,4
1472882567,four people,four skiers,Four people,Four skiers,Entailment2,2
1473618073,green plastic swing,green plastic swing-toy,a green plastic swing,a green plastic swing-toy,Entailment2,2
1475155352,green medical scrubs,green scrubs,green medical scrubs,green scrubs,Equivalence,3
1475155352,two gentlemen,two white men,Two gentlemen,Two white men,Independence,4
1476002408,bridge,fence,a bridge,a fence,Alternation,0
1476002408,brown skirt,kilt,a brown skirt,a kilt,Independence,4
1477503966,one girl,young woman,one girl,a young woman,Alternation,0
1477503966,four boys,four guys,four boys,Four guys,Equivalence,3
1478268555,huge rock wall,rock wall,a huge rock wall,a rock wall,Entailment1,1
1478576516,men,number people,Men,A number of people,Independence,4
1478606153,forest,woodland,a forest,woodland,Equivalence,3
1478606153,brown white dog,tan long-haired dog,A brown and white dog,A tan long-haired dog,Alternation,0
1479124077,wet boy,young boy,a wet boy,Young boy,Independence,4
1479124077,barefoot boy,child,A barefoot boy,A child,Entailment1,1
1479124077,muddy child,wet boy,A muddy child,a wet boy,Independence,4
1479513774,girl,longhaired woman,A girl,A longhaired woman,Alternation,0
1479679558,creek,narrow stream,A creek,A narrow stream,Equivalence,3
1479679558,narrow stream,small creek,A narrow stream,a small creek,Equivalence,3
1480467399,girls,young woman,a girls,A young woman,Alternation,0
1480712062,small crustacean,small lobster,small crustacean,a small lobster,Entailment2,2
1481728325,coordinated youths,orchestra,Coordinated youths,an orchestra,Independence,4
1482654385,telephone poles,wooden poles,telephone poles,wooden poles,Independence,4
1482654385,dirty river,flood waters,a dirty river,flood waters,Independence,4
1482960952,three elderly women,three old ladies,Three elderly women,three old ladies,Equivalence,3
1484815652,food,plate brownies,food,a plate of brownies,Entailment2,2
1484815652,four girls,group women,Four girls,A group of women,Alternation,0
1491016655,partner,two women,a partner,Two women,Alternation,0
1491192153,another adult,heavyset man,another adult,Heavyset man,Independence,4
1493288603,green blue snow cones,some snow cones,green and blue snow cones,some snow cones,Entailment1,1
1493288603,busy street corner,crowded street,a busy street corner,crowded street,Entailment1,1
1493598687,welding cap,welding mask,a welding cap,the welding mask,Equivalence,3
1497927568,group three ladies,three people,A group of three ladies,Three people,Entailment1,1
1499495021,beach,choppy water,the beach,the choppy water,Independence,4
1499554025,some shaved lambs,two goats,some shaved lambs,two goats,Alternation,0
1499554025,group females,group people,A group of females,A group of people,Entailment1,1
1500576335,opponent,someone,an opponent,someone,Entailment1,1
1500989694,steeply-angled asphalt parking lot,street,a steeply-angled asphalt parking lot,the street,Alternation,0
1500989694,some parked cars,vehicles,some parked cars,vehicles,Entailment1,1
1501398164,black stripes,striped shirt,black stripes,a striped shirt,Entailment1,1
1501811302,enclosure,yard,an enclosure,the yard,Independence,4
1501811302,farm animal,sheep,a farm animal,a sheep,Entailment2,2
1503230955,arcade machines,games,arcade machines,games,Entailment1,1
1507563902,person,upside-down child,A person,An upside-down child,Entailment2,2
1507563902,girl,upside-down child,A girl,An upside-down child,Independence,4
1509542787,concrete area,road,a concrete area,road,Independence,4
1509542787,road,view walkable road,a road,A view of a walkable road,Entailment2,2
1509542787,several people \'s silhouettes,silhouette,several people \'s silhouettes,silhouette,Independence,4
1509786421,direction,side,the direction,the side,Entailment2,2
1510447859,red fringed shirt,red shirt,a red fringed shirt,a red shirt,Entailment1,1
1510669311,five women,group partying girls,Five women,A group of partying girls,Alternation,0
1510669311,group girls,group smiling young women,A group of girls,A group of smiling young women,Alternation,0
1510669311,five smiling young ladies,group girls,Five smiling young ladies,A group of girls,Entailment1,1
1510669311,group partying girls,group smiling young women,A group of partying girls,A group of smiling young women,Alternation,0
1510926782,marketplace tableau vibrant green produce,myriad array produce,a marketplace tableau of vibrant green produce,A myriad array of produce,Independence,4
1512068441,screen,television,the screen,television,Independence,4
1512770347,framed painting,framed photograph,a framed painting,a framed photograph,Alternation,0
1515883224,casually-dressed people,crowd people,casually-dressed people,a crowd of people,Independence,4
1515883224,casually-dressed people,crowd,casually-dressed people,a crowd,Entailment1,1
1516097777,ornate table,table,an ornate table,a table,Entailment1,1
1516839584,plate food,platter,a plate of food,a platter,Independence,4
1516839584,plate food,platter food,a plate of food,a platter of food,Alternation,0
1517036435,boy ’ camp drill sergeant,old man,Boy’s camp drill Sergeant,An old man,Alternation,0
1517036435,boy ’ camp drill sergeant,man,Boy’s camp drill Sergeant,a man,Alternation,0
1517036435,boy ’ camp drill sergeant,veteran,Boy’s camp drill Sergeant,a veteran,Independence,4
1517721825,"brown , black , tan dog",three dogs,"A brown , black , and tan dog",Three dogs,Alternation,0
1518841737,blue chair,lawn chair,a blue chair,a lawn chair,Independence,4
1519172943,hot piece metal,piece hot iron,a hot piece of metal,piece of hot iron,Entailment2,2
1521979323,foreign language billboard,large sign,a foreign language billboard,a large sign,Independence,4
1522787272,golden retriever,white dog,A golden retriever,A white dog,Independence,4
1523800748,lagoon,ocean,the lagoon,the ocean,Alternation,0
1525153022,ocean,shallow edge large body water,the ocean,the shallow edge of a large body of water,Independence,4
1526260626,3 young blond kids,three young boys,3 young blond kids,Three young boys,Independence,4
1526260626,3 young blond kids,three children,3 young blond kids,Three children,Entailment1,1
1526325728,brown dog,large gray colored dog,The brown dog,The large gray colored dog,Alternation,0
1527297882,long-haired man,young man,The long-haired man,A young man,Independence,4
1527333441,mark finley,sign,Mark Finley,a sign,Alternation,0
1527333441,\' finley,sign,\' Finley,a sign,Alternation,0
1533470077,blue bus,bus,a blue bus,a bus,Entailment1,1
1534920819,beach,glistening water,the beach,the glistening water,Independence,4
1535963458,group people,indian women,a group of people,indian women,Entailment2,2
1537093085,bald woman,man,Bald woman,A man,Alternation,0
1538278785,brick structure,scaffolding,a brick structure,scaffolding,Alternation,0
1539166395,handlebars riding toy,teeter totter,the handlebars of a riding toy,a teeter totter,Independence,4
1540631615,grass,grassy athletic field,the grass,a grassy athletic field,Entailment2,2
1542970798,old yellow white building,yellow house,an old yellow and white building,a yellow house,Independence,4
1547575241,picture people,thousands fans,a picture of a people,Thousands of fans,Alternation,0
1547883892,girl,seated young woman,A girl,A seated young woman,Alternation,0
1547883892,seated young woman,young woman,A seated young woman,A young woman,Entailment1,1
1549878731,line parked cars,parked car,a line of parked cars,a parked car,Alternation,0
1549878731,blue car,line parked cars,a blue car,a line of parked cars,Alternation,0
1550772959,artifacts,possible find,artifacts,a possible find,Independence,4
1550772959,excavating tools,paleontologist archeologist tools,excavating tools,paleontologist archeologist tools,Independence,4
1552467862,house,porch,a house,the porch,Alternation,0
1553023640,heavy pumpkin,pumpkin,a heavy pumpkin,"a pumpkin</font> by its stem in <font color=""red"">a pumpkin",Entailment1,1
1554086730,giant ball,globe,a giant ball,a globe,Independence,4
1554086730,giant earth-like balloon,large ball,a giant earth-like balloon,a large ball,Independence,4
1554086730,giant ball,giant earth-like balloon,a giant ball,a giant earth-like balloon,Entailment2,2
1554086730,globe,large ball,a globe,a large ball,Independence,4
1558042903,antique shop,trinket shop,an antique shop,a trinket shop,Independence,4
1558042903,green shirt,green tank top,a green shirt,a green tank top,Entailment2,2
1558272464,helmet,strange helmet,helmet,a strange helmet,Entailment2,2
1559931223,outdoor street scene,street,an outdoor street scene,the street,Independence,4
1559931223,bikes,purple bicycle,bikes,a purple bicycle,Entailment2,2
1561077967,men,skateboarder,Men,A skateboarder,Independence,4
1561246336,2 artists,two people,2 artists,Two people,Entailment1,1
1561246336,new piece,sculpture,a new piece,a sculpture,Independence,4
1561246336,large statue,new piece art,a large statue,a new piece of art,Independence,4
1561246336,marble sculpture,new piece art,a marble sculpture,a new piece of art,Independence,4
1561246336,white room,white studio,a white room,a white studio,Entailment2,2
1561246336,mounting,new piece,the mounting,a new piece,Independence,4
1561658940,baby,little girl,baby,A little girl,Alternation,0
1562392511,large blue rope,rope,a large blue rope,a rope,Entailment1,1
1562478333,beach shore,shore,a beach shore,the shore,Entailment1,1
1562478713,meal,something,a meal,something,Entailment1,1
1563731247,child,girls,A child,The girls,Independence,4
1564614124,heart necklace,necklace,a heart necklace,a necklace,Entailment1,1
1564614124,necklace,some jewelry,a necklace,some jewelry,Entailment1,1
1564614124,some jewelry,stretchy charm bracelet,some jewelry,a stretchy charm bracelet,Entailment2,2
1567005236,cart,coffee cart,a cart,a coffee cart,Entailment2,2
1568700473,high-end camera,viewfinder camera,a high-end camera,the viewfinder of a camera,Independence,4
1568723169,red blue cap,red cap,a red and blue cap,a red cap,Entailment1,1
1569562856,directory,subway maps,a directory,the subway maps,Independence,4
1569687608,floatation vests,life vests,floatation vests,life vests,Equivalence,3
1570065565,counter,nearby counter,a counter,a nearby counter,Entailment2,2
1570083074,hallway train,train,the hallway of a train,a train,Entailment1,1
1572227770,man,young brunette male,A man,A young brunette male,Entailment2,2
1572227770,male friend,young man,a male friend,A young man,Independence,4
1574401950,top blue plastic slide,top slide,the top of a blue plastic slide,the top of a slide,Entailment1,1
1577667570,public toilets,toilets,the public toilets,the toilets,Entailment1,1
1578355853,concrete bleachers,group people,concrete bleachers,A group of people,Alternation,0
1578355853,group people,school kids,A group of people,School kids,Entailment2,2
1578427672,green wrapped package,package,a green wrapped package,a package,Entailment1,1
1578427672,green present,package,a green present,a package,Independence,4
1578427672,green present,green wrapped package,a green present,a green wrapped package,Entailment1,1
1578894657,blue button shirt,blue shirt,a blue button shirt,blue shirt,Entailment1,1
1579206585,guitar,nightclub red guitar,guitar,a nightclub red guitar,Entailment2,2
1579798212,microphone,scrubbing brush,a microphone,scrubbing brush,Alternation,0
1580359117,gourmet plated entree,plate,a gourmet plated entree,a plate,Independence,4
1580359117,male chef,man,Male chef,A man,Independence,4
1580359117,latest creation,plate,his latest creation,a plate,Independence,4
1580671272,feed,some hay,feed,some hay,Entailment2,2
1580920460,nearby child,preteen girl,a nearby child,Preteen girl,Independence,4
1580920460,little girl,nearby child,a little girl,a nearby child,Independence,4
1580920460,girl,nearby child,A girl,a nearby child,Independence,4
1584315962,man,mountain climbers,A man,Mountain climbers,Independence,4
1587652280,large group middle-school aged children,young children,A large group of middle-school aged children,Young children,Entailment1,1
1587652280,group school children,large group middle-school aged children,A group of school children,A large group of middle-school aged children,Entailment2,2
1587652280,country path,trail,a country path,a trail,Entailment1,1
1590016063,arched hallway,highly decorated walkway,an arched hallway,a highly decorated walkway,Independence,4
1596758323,two brunette ladies,two ladies,Two brunette ladies,Two ladies,Entailment1,1
1596758323,two brunette ladies,two dark-haired women,Two brunette ladies,Two dark-haired women,Entailment1,1
1596758323,huge billboard father,two golfers,a huge billboard of a father,two golfers,Alternation,0
1597319381,players,red team,players,the red team,Entailment2,2
1598809111,girls,three oriental woman,girls,Three oriental woman,Alternation,0
1598809111,people,three asian women,people,Three asian women,Entailment2,2
1598809111,girls,three asian women,girls,Three asian women,Alternation,0
1598809111,modern store,store,a modern store,a store,Entailment1,1
1601358043,wood,wooden robot,wood,a wooden robot,Entailment2,2
1601358043,girl,young ( asian ) woman,A girl,A young ( Asian ) woman,Alternation,0
1601783524,girl,redheaded woman,A girl,A redheaded woman,Alternation,0
1602852890,bunch,group people,A bunch,A group of people,Independence,4
1604496657,mural,street art,a mural,street art,Independence,4
1609454863,pair blue jeans,pair jeans,a pair of blue jeans,a pair of jeans,Entailment1,1
1614180289,basket food,other items,basket of food,other items,Independence,4
1614180289,cashier,small child,a cashier,a small child,Alternation,0
1614180289,customer,mother,a customer,the mother,Independence,4
1615608252,bag,big blue shopping bag,a bag,a big blue shopping bag,Entailment2,2
1616220830,logo woman,picture woman,a logo of a woman,a picture of a woman,Equivalence,3
1620397000,black white spotted dog,dog,A black and white spotted dog,A dog,Entailment1,1
1620397000,small stream water,stream,the small stream of water,a stream,Entailment1,1
1620397000,muddy creek,small stream water,a muddy creek,the small stream of water,Entailment1,1
1621733153,pretty baby girl,toddler,A pretty baby girl,A toddler,Alternation,0
1622115176,sidewalk,stretch pavement,a sidewalk,a stretch of pavement,Independence,4
1624055939,flowers,pots flowers,Flowers,pots of flowers,Entailment2,2
1624055939,pumpkins,some pumpkins,Pumpkins,some pumpkins,Equivalence,3
1629314152,conversation,speech,a conversation,a speech,Independence,4
1629337128,audience,seated man,the audience,a seated man,Entailment2,2
1629337128,dimly lit stage,large theater,a dimly lit stage,a large theater,Alternation,0
1629337128,auditorium,large theater,an auditorium,a large theater,Independence,4
1634820545,dresses,skirts,dresses,skirts,Alternation,0
1634820545,dresses,gypsy skirts,dresses,gypsy skirts,Alternation,0
1643915227,cars,vehicles,cars,vehicles,Entailment1,1
1652324440,many skiers,people,many skiers,People,Entailment1,1
1659337157,basket,bucket,a basket,a bucket,Independence,4
1664475761,two young boys,two young men,Two young boys,Two young men,Alternation,0
1664475859,dusty courtyard white building,floor,a dusty courtyard of a white building,the floor,Alternation,0
1664475859,"open , stone building",white building,"an open , stone building",a white building,Independence,4
1664475859,people,three young men,People,Three young men,Entailment2,2
1675332284,african american man,muscular african-american man,An African American man,A muscular African-american man,Entailment2,2
1675332284,paint buckets,some overturned buckets,paint buckets,some overturned buckets,Independence,4
1675332284,some buckets,some overturned buckets,some buckets,some overturned buckets,Entailment2,2
1675332284,buckets,paint buckets,buckets,paint buckets,Entailment2,2
1675485579,jacket,white jacket,a jacket,a white jacket,Entailment2,2
1675485579,black book,open business folder,a black book,open a business folder,Independence,4
1675485579,large book,open business folder,a large book,open a business folder,Alternation,0
1676898063,mom,smiling older female,her mom,a smiling older female,Independence,4
1676898063,beautiful little toddler,young child,A beautiful little toddler,A young child,Alternation,0
1676898063,baby girl,beautiful little toddler,A baby girl,A beautiful little toddler,Alternation,0
1676898063,baby,beautiful little toddler,Baby,A beautiful little toddler,Alternation,0
1678345419,motorcycle helmets,two motorcycle helmets,their motorcycle helmets,two motorcycle helmets,Entailment2,2
1678396864,adult woman,elderly woman,An adult woman,An elderly woman,Entailment2,2
1678844410,little boy,school boy,A little boy,A school boy,Independence,4
1679557684,another dog,big black dog,another dog,a big black dog,Entailment2,2
1679607622,train,train bus,a train,a train or bus,Independence,4
1679732375,forest,scenic fall view landscape,a forest,a scenic fall view of the landscape,Independence,4
1680409989,curved wall,public wall,a curved wall,a public wall,Independence,4
1680674943,nurse,smaller child,a nurse,a smaller child,Alternation,0
1680674943,older child,patient,the older child,patient,Independence,4
1680674943,surgical nurse,younger sister,a surgical nurse,her younger sister,Independence,4
1681253990,picture lady,picture young woman,a picture of a lady,a picture of a young woman,Entailment2,2
1681253990,painting young woman,picture young woman,a painting of a young woman,a picture of a young woman,Entailment1,1
1682079482,bucket swing,swing,a bucket swing,the swing,Entailment1,1
1683695914,group seven adults,many people,A group of seven adults,Many people,Entailment1,1
1687886596,gray shirt,tattered shirt,a gray shirt,a tattered shirt,Independence,4
1688699579,brown stick,stick,a brown stick,a stick,Entailment1,1
1688699579,bigger tri-colored dog,large dog,a bigger tri-colored dog,a large dog,Entailment1,1
1689265814,costume,flowery costume,a costume,flowery costume,Entailment2,2
1689265814,person,street performer,A person,A street performer,Entailment2,2
1689283621,crate tomatoes,tomatoes,a crate of tomatoes,his tomatoes,Entailment1,1
1689283621,crate tomatoes,some tomatoes,a crate of tomatoes,some tomatoes,Entailment1,1
1690926854,two other female members,two teammates,two other female members,two teammates,Independence,4
1690926854,females,usa team,Females,the USA team,Independence,4
1690926854,females,group volleyball girls,Females,A group of volleyball girls,Entailment2,2
1691038839,game hockey,ice hockey game,the game of Hockey,an ice hockey game,Entailment2,2
1693115528,restaurant,restaurant booth,a restaurant,a restaurant booth,Entailment2,2
1693115528,flat screen tv,hockey game,a flat screen TV,a hockey game,Alternation,0
1693115528,hockey,small television,hockey,a small television,Alternation,0
1693120546,bar,sports bar,a bar,a sports bar,Entailment2,2
1694114389,autumn trees,trees,autumn trees,the trees,Entailment1,1
1694555858,well-dressed man,young asian man,A well-dressed man,A young Asian man,Independence,4
1698837338,beautiful long-haired blond girl,woman,A beautiful long-haired blond girl,A woman,Alternation,0
1698837338,beautiful long-haired blond girl,parade participant,A beautiful long-haired blond girl,Parade participant,Independence,4
1698995792,hat,turban,hat,a turban,Entailment2,2
1713248099,three dogs,three multicolored dogs,Three dogs,three multicolored dogs,Entailment2,2
1714316707,snow covered tree,snow-covered tree branch,a snow covered tree,a snow-covered tree branch,Entailment2,2
1714316707,snow-covered tree branch,tree,a snow-covered tree branch,a tree,Independence,4
1714754988,boy,younger child,A boy,A younger child,Independence,4
1714937792,seven people,several young people,Seven people,Several young people,Independence,4
1714937792,black table,dining table,a black table,dining table,Independence,4
1716077525,green tablecloth,table,a green tablecloth,a table,Alternation,0
1716077525,dining table,kitchen table,a dining table,a kitchen table,Independence,4
1716219111,large loom,threads,a large loom,threads,Alternation,0
1716445442,big rock,large rock,a big rock,a large rock,Equivalence,3
1716445442,big rock,things,a big rock,things,Entailment1,1
1718184338,couple people,two people,A couple of people,Two people,Equivalence,3
1718184338,body water,water,the body of water,the water,Entailment1,1
1720302155,roof,steep roof,a roof,a very steep roof,Entailment2,2
1720431026,city street,city walkway,a city street,a city walkway,Independence,4
1732047510,group participants,large group asian people,Group of participants,A large group of asian people,Independence,4
1732047510,chinese people,group participants,Chinese people,Group of participants,Entailment1,1
1732567333,big green metal box,large item,a big green metal box,a large item,Entailment1,1
1732567333,aqua cabinet,equipment,an aqua cabinet,the equipment,Entailment1,1
1733590931,giant stadium,stage,the Giant stadium,stage,Independence,4
1733595275,traffic,vehicles,traffic,vehicles,Entailment2,2
1733676900,sign,standing front earth toned mosaic sign,a sign,standing front of a earth toned mosaic sign,Entailment2,2
1733724955,busch gardens barrel,water ride,a Busch Gardens barrel,a water ride,Entailment1,1
1733807750,communication device,radio,a communication device,her radio,Entailment2,2
1733807750,bicyclist,security officer,a bicyclist,A security officer,Independence,4
1745110280,caramel colored dog,sad looking dog,A caramel colored dog,A sad looking dog,Independence,4
1745110280,brown dog,caramel colored dog,The brown dog,A caramel colored dog,Entailment2,2
1748132477,basket,baskets goods,a basket,a baskets of goods,Entailment2,2
1748132477,food,red substance,food,a red substance,Independence,4
1748132477,food,red objects,food,red objects,Independence,4
1750167036,construction workers,group six men,Construction workers,A group of six men,Independence,4
1763020597,shade cement awning,wall,the shade of a cement awning,a wall,Alternation,0
1763020597,overhang,shade cement awning,an overhang,the shade of a cement awning,Entailment2,2
1763754548,short ladder,smaller silver ladder,a short ladder,smaller silver ladder,Entailment2,2
1764955991,large dog,tan white dog,A large dog,A tan and white dog,Independence,4
1765164972,mohawk,punk hairstyle,a Mohawk,a punk hairstyle,Independence,4
1765164972,cowboy shirt,red flannel shirt,a cowboy shirt,a red flannel shirt,Independence,4
1765164972,cowboy shirt,plaid shirt,a cowboy shirt,a plaid shirt,Independence,4
1770036088,parent,woman,A parent,The woman,Independence,4
1771353346,two soccer team,two soccer teams,two soccer team,Two soccer teams,Equivalence,3
1771353346,many member sports league,two soccer teams,Many member of a sports league,Two soccer teams,Independence,4
1773928579,blue staircase,staircase,a blue staircase,a staircase,Entailment1,1
1775029934,antelope,wild animal,An antelope,A wild animal,Entailment1,1
1775029934,animal,antelope,An animal,An antelope,Entailment2,2
1780262510,musicians,three street musicians,The musicians,Three street musicians,Entailment2,2
1782543772,balding man,one people,a balding man,one of the people,Entailment1,1
1784309115,guy,regularly dressed man,a guy,a regularly dressed man,Entailment2,2
1785138090,back side girl,woman,the back side of a girl,A woman,Alternation,0
1785138090,three big trees,three trees,Three big trees,three trees,Entailment1,1
1785138090,skimpy bathing suit,string bikini,a skimpy bathing suit,a string bikini,Entailment2,2
1785224814,food court,food stand,a food court,a food stand,Independence,4
1787222774,red play vehicle,toy car,a red play vehicle,a toy car,Entailment1,1
1787222774,red car,red play vehicle,red car,a red play vehicle,Independence,4
1788892671,fake giant rat,giant rat,a fake giant rat,a giant rat,Entailment1,1
1791491934,man,older japanese man,A man,A older Japanese man,Entailment2,2
1791491934,saw,small red gray machine,a saw,a small red and gray machine,Independence,4
1793982293,bench,public bench,a bench,a public bench,Entailment2,2
1794098993,cute outfits,halloween costumes,cute outfits,Halloween costumes,Independence,4
1794098993,four little kids,several young children,Four little kids,Several young children,Entailment1,1
1794818900,red playground toy,red toy,a red playground toy,a red toy,Entailment1,1
1795151944,pack dogs,team dogs,a pack of dogs,A team of dogs,Entailment2,2
1795151944,bike,three wheeled vehicle,a bike,a three wheeled vehicle,Independence,4
1795151944,large tricycle,three wheeler bicycle,a large tricycle,a three wheeler bicycle,Alternation,0
1796521614,brightly colored toys,colorful blow-up hammer,brightly colored toys,a colorful blow-up hammer,Entailment2,2
1797436026,goal,net,the goal,the net,Equivalence,3
1797507760,hikers,topless men,The hikers,Topless men,Independence,4
1797507760,canyon,rocky path,a canyon,a rocky path,Independence,4
1797554350,pink brown umbrella,umbrella,a pink and brown umbrella,an umbrella,Entailment1,1
1797554350,lady,marathon runner,a lady,a marathon runner,Independence,4
1797554350,jogger,lady,A jogger,a lady,Independence,4
1798089612,incense,incense sticks,incense,incense sticks,Entailment2,2
1798209205,glass wine,red wine,a glass of wine,red wine,Independence,4
1798209205,clear glass,glass,a clear glass,a glass,Entailment1,1
1798209205,bar,dim restaurant,a bar,a dim restaurant,Independence,4
1798209205,dim restaurant,restaurant,a dim restaurant,a restaurant,Entailment1,1
1799165532,blond baby,child,a blond baby,a child,Alternation,0
1799165532,blond-hair baby,child,a blond-hair baby,a child,Alternation,0
1799165532,blond-hair baby,little boy,a blond-hair baby,a little boy,Independence,4
